## Gene leads ideogram data - Single Cell Portal
## accession=SCP138;organism=homo-sapiens;bucket=fc-65379b91-5ded-4d28-8e51-ada209542117;clustering=All_Cells_UMAP;annotation=General_Celltype
## differential_expression keys: group;log2fc;adjusted_pval;scores_rank
# name	chromosome	start	length	color	full_name	differential_expression	publication_mentions	interest_rank
CD74	5	150400041	12888	#4daf4a	CD74 molecule	dendritic cells!4.846!1.031e-254!1;CSN1S1 macrophages!2.494!9.391e-288!28;GPMNB macrophages!3.546!0!42;eosinophils!1.252!0.07599!399	1	4851
HSP90AA1	14	102080742	58957	#ff7f00	heat shock protein 90 alpha family class A member 1	fibroblasts!4.875!2.444e-88!1;LC1!0.8357!0!208	0	1454
PTPRC	1	198638457	119019	#fc8d62	protein tyrosine phosphatase receptor type C	T cells!5.742!0!1;eosinophils!5.724!2.155e-12!2;neutrophils!5.587!0!18;CSN1S1 macrophages!3.386!1.209e-282!31;dendritic cells!3.938!2.52e-152!41;GPMNB macrophages!4.9!0!56	0	1754
SRGN	10	69088103	16702	#984ea3	serglycin	eosinophils!6.361!2.155e-12!1;neutrophils!7.161!0!1;CSN1S1 macrophages!4.042!0!8;dendritic cells!4.577!1.78e-187!13;GPMNB macrophages!5.318!0!37;T cells!2.916!2.463e-155!114	0	14382
IFI30	19	18173162	4955	#a65628	IFI30 lysosomal thiol reductase	GPMNB macrophages!6.724!0!1;CSN1S1 macrophages!4.878!0!3;dendritic cells!4.507!1.642e-163!27;neutrophils!2.837!2.219e-125!155;eosinophils!1.271!0.01071!301	0	27272
CD68	17	7579491	2620	#a65628	CD68 molecule	GPMNB macrophages!6.512!0!2;CSN1S1 macrophages!4.36!0!6;dendritic cells!2!1.234e-53!374	3	7125
KLF6	10	3775996	9285	#f781bf	Kruppel like factor 6	LC1!4.608!0!2;dendritic cells!3.042!3.043e-120!87;T cells!2.666!5.001e-172!96;CSN1S1 macrophages!2.104!7.591e-164!138;GPMNB macrophages!3.02!0!200;neutrophils!1.588!4.567e-48!332	2	7183
LALBA	12	48567684	2382	#999999	lactalbumin alpha	LC2!5.078!0!2	2	17573
VIM	10	17228241	9352	#377eb8	vimentin	CSN1S1 macrophages!4.985!0!2;GPMNB macrophages!7.071!0!3;dendritic cells!4.973!3.966e-172!19;fibroblasts!4.836!1.735e-54!118;T cells!2.132!4.485e-101!213	1	335
HLA-DPA1	6	33064569	16206	#4daf4a	major histocompatibility complex%2C class II%2C DP alpha 1	dendritic cells!5.361!3.532e-253!2;CSN1S1 macrophages!2.44!1.511e-245!54;GPMNB macrophages!3.595!0!57	0	7473
HSPH1	13	31134973	27415	#ff7f00	heat shock protein family H (Hsp110) member 1	fibroblasts!6.317!2.82e-88!2;LC1!1.575!0!253	0	8646
SPOCK2	10	72059034	29998	#fc8d62	SPARC (osteonectin)%2C cwcv and kazal like domains proteoglycan 2	T cells!10.05!0!2	0	14410
ATF3	1	212565334	55443	#f781bf	activating transcription factor 3	LC1!4.877!0!3	1	1133
CORO1A	16	30182827	6249	#984ea3	coronin 1A	eosinophils!6.598!2.155e-12!3;T cells!4.775!1.237e-202!68;CSN1S1 macrophages!2.446!9.072e-73!381;neutrophils!2.947!1.895e-33!417	1	8690
CSN3	4	70242588	8840	#999999	casein kappa	LC2!4.661!0!3	1	35536
NAMPT	7	106248298	38028	#66c2a5	nicotinamide phosphoribosyltransferase	neutrophils!4.375!0!3;LC1!1.101!3.144e-277!325	0	39
UBB	17	16380798	1947	#ff7f00	ubiquitin B	fibroblasts!4.189!4.008e-88!3	0	1991
HLA-E	6	30489509	4685	#fc8d62	major histocompatibility complex%2C class I%2C E	T cells!2.509!0!3;eosinophils!2.749!1.068e-11!7;neutrophils!3.013!0!9;CSN1S1 macrophages!1.422!5.51e-222!70;GPMNB macrophages!1.965!0!120;dendritic cells!1.293!5.722e-71!255	0	7475
HLA-DRA	6	32439878	5168	#4daf4a	major histocompatibility complex%2C class II%2C DR alpha	dendritic cells!5.038!2.545e-252!3;CSN1S1 macrophages!2.65!0!17;GPMNB macrophages!3.657!0!26	0	38710
