## Gene leads ideogram data - Single Cell Portal
## accession=SCP138;organism=homo-sapiens;bucket=fc-65379b91-5ded-4d28-8e51-ada209542117;clustering=All_Cells_UMAP;annotation=General_Celltype
## differential_expression keys: group;log2fc;adjusted_pval;scores_rank
# name	chromosome	start	length	color	full_name	differential_expression	publication_mentions	interest_rank
XDH	2	31334321	80421	#999999	xanthine dehydrogenase	LC2!4.77!0!1	2	6467
REL	2	60881521	50091	#4daf4a	REL proto-oncogene%2C NF-kB subunit	dendritic cells!4.719!2.232e-194!12	1	6837
NUPR1	16	28532708	6300	#999999	nuclear protein 1%2C transcriptional regulator	LC2!1.756!0!132	1	6876
CD68	17	7579491	2620	#a65628	CD68 molecule	GPMNB macrophages!6.512!0!3;CSN1S1 macrophages!4.36!0!7;dendritic cells!2!1.234e-53!375	3	7125
KLF6	10	3775996	9285	#f781bf	Kruppel like factor 6	LC1!4.608!0!3;dendritic cells!3.042!3.043e-120!88;T cells!2.666!5.001e-172!97;CSN1S1 macrophages!2.104!7.591e-164!139;GPMNB macrophages!3.02!0!201;neutrophils!1.588!4.567e-48!333	2	7183
CLDN4	7	73799542	33151	#f781bf	claudin 4	LC1!4.691!0!1	2	7188
CSF3R	1	36466043	17235	#66c2a5	colony stimulating factor 3 receptor	neutrophils!7.771!0!13;CSN1S1 macrophages!1.972!7.52e-63!436	1	7210
FOS	14	75278826	3404	#984ea3	Fos proto-oncogene%2C AP-1 transcription factor subunit	eosinophils!4.621!5.142e-09!42;LC1!2.89!0!53;neutrophils!4.366!3.64e-259!61;dendritic cells!3.363!5.713e-123!81;CSN1S1 macrophages!2.695!1.704e-206!89;GPMNB macrophages!3.936!0!139	1	7363
LIPA	10	89213569	200988	#377eb8	lipase A%2C lysosomal acid type	CSN1S1 macrophages!4.205!0!15;GPMNB macrophages!5.988!0!31	1	7607
LTA4H	12	96000753	42767	#a65628	leukotriene A4 hydrolase	GPMNB macrophages!2.692!0!327;CSN1S1 macrophages!1.275!1.775e-55!488	1	7612
PC	11	66848417	109969	#4d72aa	pyruvate carboxylase		1	7740
PRLR	5	35048756	181731	#999999	prolactin receptor	LC2!2.136!0!124	5	7837
PTN	7	137227341	116433	#ff7f00	pleiotrophin	fibroblasts!10.23!1.607e-85!13	1	7879
ATP2C2	16	84368527	95660	#999999	ATPase secretory pathway Ca2+ transporting 2	LC2!2.641!0!180	1	8494
CORO1A	16	30182827	6249	#984ea3	coronin 1A	eosinophils!6.598!2.155e-12!4;T cells!4.775!1.237e-202!69;CSN1S1 macrophages!2.446!9.072e-73!382;neutrophils!2.947!1.895e-33!418	1	8690
CHRDL2	11	74696429	34997	#999999	chordin like 2	LC2!4.091!0!18	2	8854
TCN1	11	59852800	13689	#4d72aa	transcobalamin 1		1	15866
LALBA	12	48567684	2382	#999999	lactalbumin alpha	LC2!5.078!0!3	2	17573
LYZ	12	69348381	5853	#4d72aa	lysozyme		2	17965
KRT15	17	41513745	8784	#999999	keratin 15	LC2!1.942!0!410	2	24962
CIDEA	18	12254361	23234	#999999	cell death inducing DFFA like effector a	LC2!3.405!0!42	1	26026
UGP2	2	63840952	50610	#999999	UDP-glucose pyrophosphorylase 2	LC2!2.991!0!17	1	29132
SEL1L3	4	25747433	116327	#4daf4a	SEL1L family member 3	dendritic cells!4.932!3.814e-114!101	1	35224
CSN1S1	4	69931068	15506	#999999	casein alpha s1	LC2!4.966!0!2	2	35529
CSN2	4	69955256	5751	#999999	casein beta	LC2!5.181!0!6	2	35530
CSN3	4	70242588	8840	#999999	casein kappa	LC2!4.661!0!4	1	35536
