attribute	required	default	type	array	class	ontology	ontology_root	controlled_list_entries	dependency	dependency_condition	dependent	attribute_description		20190822 index
enrichment_method			string	TRUE	enum			"[""cell size selection"", ""fluorescence-activated cell sorting"", ""magnetic affinity cell sorting"", ""laser capture microdissection"", ""density gradient centrifugation"", ""Ficoll-Hypaque method"", ""enrichment of methylated DNA""]"				Method used to enrich cells before running library preparation. This could be flow cytometry, column enrichments, etc.		34
enrichment__cell_type			string		ontology	https://www.ebi.ac.uk/ols/api/ontologies/cl	CL_0000548		enrichment_method			The cell type that was sorted via an enrichment technique such as flow cytometry.		35
enrichment__cell_type__ontology_label			string		ontology_label				enrichment__cell_type			enrichment__cell_type__ontology_label		36
enrichment__facs_markers			string	TRUE					enrichment_method			The surface markers that were sorted on to enrich for the enriched cell type if flow cytometry was used		37
disease	Yes	MONDO_0000001	string	TRUE	ontology	https://www.ebi.ac.uk/ols/api/ontologies/mondo,https://www.ebi.ac.uk/ols/api/ontologies/pato	MONDO_0000001					The disease state(s) of the individual donating the sample at the time of donation		38
disease__ontology_label	Yes		string	TRUE	ontology_label				disease			disease__ontology_label		39
disease__time_since_onset			number	TRUE					disease		disease__time_since_onset__unit	Amount of time since disease onset		40
disease__time_since_onset__unit			string		ontology	https://www.ebi.ac.uk/ols/api/ontologies/uo	UO_0000003		disease__time_since_onset			disease__time_since_onset__unit		41
disease__time_since_onset__unit_label			string		unit_label				disease__time_since_onset__unit			disease__time_since_onset__unit_label		42
disease__treated			boolean	TRUE					disease			If the donor was treated at the time the sample was collected		43
disease__treatment			string	TRUE					disease__treated			A description of the treatment given to this donor		44
disease__time_since_treatment_start			number	TRUE					disease__treatment		disease__time_since_treatment_start__unit	Amount of time since treatment was started (for drugs/continuous treatment) or performed (for surgery/immediate intervention)		45
disease__time_since_treatment_start__unit			string		ontology	https://www.ebi.ac.uk/ols/api/ontologies/uo	UO_0000003		disease__time_since_treatment_start			disease__time_since_treatment_start__unit		46
disease__time_since_treatment_start__unit_label			string		unit_label				disease__time_since_treatment_start__unit			disease__time_since_treatment_start__unit_label		47
disease__intracellular_pathogen			string	TRUE	ontology	https://www.ebi.ac.uk/ols/api/ontologies/mondo	MONDO_0005550		disease			If evidence of a pathogen is detected in this cell		48
disease__intracellular_pathogen__ontology_label			string	TRUE	ontology_label				disease__intracellular_pathogen			disease__intracellular_pathogen__ontology_label		49
spike_in_kit			string									name of spike in kit		50
spike_in_concentration			string						spike_in_kit			spike in concentration		51
development_stage			string		ontology	http://www.ebi.ac.uk/ols/api/ontologies/hsapdv						A classification of the developmental stage of the organism		52
development_stage__ontology_label			string		ontology_label				development_stage			development_stage__ontology_label		53
end_bias			string		enum			"[""3 prime tag"", ""3 prime end bias"", ""5 prime tag"", ""5 prime end bias"", ""full length""]"				The end bias of the library preparation protocol used		54
library_preparation_protocol	Yes		string		ontology	https://www.ebi.ac.uk/ols/api/ontologies/efo	EFO_0001457					The single cell RNA-sequencing protocol used for Library preparation		55
library_preparation_protocol__ontology_label	Yes		string		ontology_label				library_preparation_protocol			library_preparation_protocol__ontology_label		56
primer			string		enum			"[""poly-dT"",""random""]"				Primer used for cDNA synthesis from RNA		57
strand			string		enum			"[""first"",""second"",""unstranded""]"				library strandedness		58
sequencing_instrument_manufacturer_model			string		ontology	https://www.ebi.ac.uk/ols/api/ontologies/efo	EFO_0003739					name of sequencing instrument manufacturer		59
sequencing_instrument_manufacturer_model__ontology_label			string		ontology_label				sequencing_instrument_manufacturer_model			sequencing_instrument_manufacturer_model__ontology_label		60
paired_ends			boolean									true if the sequence library has paired end data (false for 10x)		61
read_length			string									the read structure of the sequencing run		62
small_molecule_perturbation			string	TRUE	ontology	https://www.ebi.ac.uk/ols/api/ontologies/chebi	CHEBI_24431					a small molecule added to a cell culture (ex. A drug) growth factor (and if it is recombinant, concentration), gene)		63
small_molecule_perturbation__ontology_label			string	TRUE	ontology_label				small_molecule_perturbation			small_molecule_perturbation__ontology_label		64
small_molecule_perturbation__concentration			number	TRUE					small_molecule_perturbation		small_molecule_perturbation__concentration__unit	Concentration of each small molecule in the final tissue culture media. Order should be consistent with small_molecule_perturbation		65
small_molecule_perturbation__concentration__unit			string		ontology	https://www.ebi.ac.uk/ols/api/ontologies/uo	UO_0000003		small_molecule_perturbation__concentration			small_molecule_perturbation__concentration__unit		66
small_molecule_perturbation__concentration__unit_label			string		unit_label				small_molecule_perturbation__concentration__unit			small_molecule_perturbation__concentration__unit_label		67
small_molecule_perturbation__solvent			string	TRUE					small_molecule_perturbation			Solvent in which the small molecule was added to the cells. Ex. the base media.		68
small_molecule_perturbation__source			string	TRUE					small_molecule_perturbation			Source from which the small molecule was purchased		69
growth_factor_perturbation			string	TRUE	ontology	https://www.ebi.ac.uk/ols/api/ontologies/pr	PR_000000001			sample_type in cell line, organoid, cultured primary cells		a growth factor added to a cell culture media		70
growth_factor_perturbation__ontology_label			string	TRUE	ontology_label				growth_factor_perturbation			growth_factor_perturbation__ontology_label		71
growth_factor_perturbation__concentration			number	TRUE					growth_factor_perturbation		growth_factor_perturbation__concentration__unit	Concentration of of each growth factor in the final tissue culture media. Order should be consistent with growth_factor_perturbation		72
growth_factor_perturbation__concentration__unit			string		ontology	https://www.ebi.ac.uk/ols/api/ontologies/uo	UO_0000003		growth_factor_perturbation__concentration			growth_factor_perturbation__concentration__unit		73
growth_factor_perturbation__concentration__unit_label			string		unit_label				growth_factor_perturbation__concentration__unit			growth_factor_perturbation__concentration__unit_label		74
growth_factor_perturbation__solvent			string	TRUE					growth_factor_perturbation			Solvent in which the growth factor was added to the cells. Ex. the base media.		75
growth_factor_perturbation__source			string	TRUE					growth_factor_perturbation			Source from which the growth factor was purchased		76
gene_perturbation			string	TRUE	ontology	https://www.ebi.ac.uk/ols/api/ontologies/ogg	OGG_0000000002					A perturbation to a gene done to a cell culture		77
gene_perturbation__ontology_label			string	TRUE	ontology_label				gene_perturbation			gene_perturbation__ontology_label		78
gene_perturbation__method			string	TRUE					gene_perturbation			Process by which the gene was perturbed. Ex. CRISPR knock-out		79
gene_perturbation__direction			string		enum			"[""knock in"", ""knock out"",""activation"",""repression""]"	gene_perturbation			The type of perturbation of the gene defined in gene_perturbation. Knock in and knock out are complete additions/depletions of the gene, activation and repression refer to changes in magnitude of expression.		80
gene_perturbation__dynamics			string						gene_perturbation			Description of the timing with respect to sequencing and other logistical considerations of the gene perturbation		81
CellID	Yes		string									Cell ID		82
cell_type			string		ontology	https://www.ebi.ac.uk/ols/api/ontologies/cl	CL_0000548					Cell type name determined via unsupervised clustering and marker genes		83
cell_type__ontology_label			string		ontology_label				cell_type			cell_type__ontology_label		84
number_of_reads			number									Number of reads mapped to that cell		85
donor_id	Yes		string									Donor ID		87
